filename_i,date,citedby_count
950,2017-12-31,29
951,2017-12-31,3
952,2017-12-31,2
953,2017-12-31,0
954,2017-12-31,1
955,2017-12-31,0
956,2017-12-31,0
957,2017-12-31,0
958,2017-12-31,0
959,2017-12-31,0
960,2017-12-31,0
961,2017-12-31,1
962,2017-12-31,0
963,2017-12-31,0
964,2017-12-31,0
965,2017-12-31,0
966,2017-12-31,0
967,2017-12-31,0
968,2017-12-31,1
969,2017-12-31,0
970,2017-12-31,2
971,2017-12-31,0
972,2017-12-31,0
973,2017-12-31,0
974,2017-12-31,0
975,2017-12-31,1
976,2017-12-31,18
977,2017-12-31,22
978,2017-12-31,21
979,2017-12-31,18
980,2017-12-31,86
981,2017-12-31,43
982,2017-12-31,17
983,2017-12-31,4
984,2017-12-31,7
985,2017-12-31,23
986,2017-12-31,16
987,2017-12-31,1
988,2017-12-31,7
989,2017-12-31,1
990,2017-12-31,0
991,2017-12-31,2
992,2017-12-31,4
993,2017-12-31,6
994,2017-12-31,16
995,2017-12-31,11
996,2017-12-31,0
997,2017-12-31,16
998,2017-12-31,2
999,2017-12-31,16
1000,2017-12-31,20
1001,2017-12-31,7
1002,2017-12-31,1
1003,2017-12-31,1
1004,2017-12-31,3
1005,2017-12-31,13
1006,2017-12-31,2
1007,2017-12-31,0
1008,2017-12-31,7
1009,2017-12-31,2
1010,2017-12-31,0
1011,2017-12-31,4
1012,2017-12-31,6
1013,2017-12-31,2
1014,2017-12-31,0
1015,2017-12-31,9
1016,2017-12-31,9
1017,2017-12-31,17
1018,2017-12-31,8
1019,2017-12-31,9
1020,2017-12-31,9
1021,2017-12-31,1
1022,2017-12-31,15
1023,2017-12-31,33
1024,2017-12-31,10
1025,2017-12-31,48
1026,2017-12-31,14
1027,2017-12-31,1
1028,2017-12-31,41
1029,2017-12-31,40
1030,2017-12-31,7
1031,2017-12-31,3
1032,2017-12-31,1
1033,2017-12-31,16
1034,2017-12-31,167
1035,2017-12-31,0
1036,2017-12-31,7
1037,2017-12-31,5
1038,2017-12-31,0
1039,2017-12-31,1
1040,2017-12-31,3
1041,2017-12-31,10
1042,2017-12-31,0
1043,2017-12-31,1
1044,2017-12-31,6
1045,2017-12-31,0
1046,2017-12-31,0
1047,2017-12-31,8
1048,2017-12-31,2
1049,2017-12-31,5
1050,2017-12-31,1
1051,2017-12-31,2
1052,2017-12-31,0
1053,2017-12-31,29
1054,2017-12-31,29
1055,2017-12-31,1
1056,2017-12-31,5
1057,2017-12-31,10
1058,2017-12-31,2
1059,2017-12-31,4
1060,2017-12-31,1
1061,2017-12-31,0
1062,2017-12-31,0
1063,2017-12-31,0
1064,2017-12-31,1
1065,2017-12-31,1
1066,2017-12-31,2
1067,2017-12-31,0
1068,2017-12-31,2
1069,2017-12-31,9
1070,2017-12-31,25
1071,2017-12-31,1
1072,2017-12-31,2
1073,2017-12-31,0
1074,2017-12-31,58
1075,2017-12-31,2
1076,2017-12-31,8
1077,2017-12-31,0
1078,2017-12-31,0
1079,2017-12-31,1
1080,2017-12-31,0
1081,2017-12-31,0
1082,2017-12-31,1
1083,2017-12-31,0
1084,2017-12-31,0
1085,2017-12-31,0
1086,2017-12-31,4
1087,2017-12-31,0
1088,2017-12-31,1
1089,2017-12-31,0
1090,2017-12-31,3
1091,2017-12-31,2
1092,2017-12-31,7
1093,2017-12-31,2
1094,2017-12-31,1
1095,2017-12-31,1
1096,2017-12-31,0
1097,2017-12-31,11
1098,2017-12-31,12
1099,2017-12-31,25
1100,2017-12-31,5
1101,2017-12-31,8
1102,2017-12-31,12
1103,2017-12-31,7
1104,2017-12-31,28
1105,2017-12-31,7
1106,2017-12-31,12
1107,2017-12-31,12
1108,2017-12-31,4
1109,2017-12-31,11
1110,2017-12-31,2
1111,2017-12-31,2
1112,2017-12-31,20
1113,2017-12-31,3
1114,2017-12-31,1
1115,2017-12-31,0
1116,2017-12-31,6
1117,2017-12-31,0
1118,2017-12-31,2
1119,2017-12-31,2
1120,2017-12-31,1
1121,2017-12-31,4
1122,2017-12-31,7
1123,2017-12-31,2
1124,2017-12-31,0
1125,2017-12-31,1
1126,2017-12-31,38
1127,2017-12-31,3
1128,2017-12-31,6
1129,2017-12-31,8
1130,2017-12-31,15
1131,2017-12-31,5
1132,2017-12-31,8
1133,2017-12-31,0
1134,2017-12-31,1
1135,2017-12-31,2
